judge,pair_id,stratum,order,x_id,y_id,choice,winner_id,winner_kind,reason
deepseek-v4-flash,0016,verse:machine_verse,ab,machine_verse-00,verse-00,X,machine_verse-00,machine,"X has more emotional depth, subtle imagery, and a poignant meditation on grief."
gpt-5.6-luna,0016,verse:machine_verse,ab,machine_verse-00,verse-00,X,machine_verse-00,machine,"Its precise domestic details and understated grief create a more nuanced, emotionally resonant portrait."
gpt-5.6-luna-pro,0016,verse:machine_verse,ab,machine_verse-00,verse-00,X,machine_verse-00,machine,"It uses precise domestic details and restrained grief to create a more distinctive, emotionally resonant voice."
haiku-4.5,0016,verse:machine_verse,ab,machine_verse-00,verse-00,X,machine_verse-00,machine,It uses concrete domestic detail to render grief with emotional precision and contemporary grace.
opus,0016,verse:machine_verse,ab,machine_verse-00,verse-00,X,machine_verse-00,machine,"A controlled elegy whose concrete details earn their grief, against a repetitive martial jingle."
deepseek-v4-flash,0016,verse:machine_verse,ba,verse-00,machine_verse-00,Y,machine_verse-00,machine,"Y uses concrete, emotional details and subtle metaphor to evoke grief, while X is repetitive and lacks depth."
gpt-5.6-luna,0016,verse:machine_verse,ba,verse-00,machine_verse-00,Y,machine_verse-00,machine,"Its restrained grief, precise domestic details, and subtle emotional progression create a more affecting and memorable poem."
gpt-5.6-luna-pro,0016,verse:machine_verse,ba,verse-00,machine_verse-00,Y,machine_verse-00,machine,"Its precise, restrained imagery gives grief a lasting emotional presence."
haiku-4.5,0016,verse:machine_verse,ba,verse-00,machine_verse-00,Y,machine_verse-00,machine,intimate meditation on nine years of grief transcends the crude repetitive war chant.
opus,0016,verse:machine_verse,ba,verse-00,machine_verse-00,Y,machine_verse-00,machine,Y earns its restraint and lands a real image; X is chanted doggerel.
deepseek-v4-flash,0017,verse:machine_verse,ab,machine_verse-06,verse-06,X,machine_verse-06,machine,"X's imagery is more original and evocative, with a quiet depth that rewards rereading."
gpt-5.6-luna,0017,verse:machine_verse,ab,machine_verse-06,verse-06,X,machine_verse-06,machine,"Its patient imagery and quiet compression create a more resonant meditation on time, nature, and mortality."
gpt-5.6-luna-pro,0017,verse:machine_verse,ab,machine_verse-06,verse-06,X,machine_verse-06,machine,"Its precise imagery and measured rhythm create a haunting meditation on time, mortality, and stillness."
haiku-4.5,0017,verse:machine_verse,ab,machine_verse-06,verse-06,X,machine_verse-06,machine,Its spare language and meditation on mortality carry more genuine weight than hymnal verse.
opus,0017,verse:machine_verse,ab,machine_verse-06,verse-06,Y,verse-06,human,Blake's lyric carries real music and visionary strangeness; X is a competent but familiar meditative mode.
deepseek-v4-flash,0017,verse:machine_verse,ba,verse-06,machine_verse-06,X,verse-06,human,"The second passage achieves a more profound and original meditation on time and mortality through its precise, understated imagery."
gpt-5.6-luna,0017,verse:machine_verse,ba,verse-06,machine_verse-06,Y,machine_verse-06,machine,"Its patient, vivid imagery and final transformation create a more resonant and subtly expansive meditation on time and mortality."
gpt-5.6-luna-pro,0017,verse:machine_verse,ba,verse-06,machine_verse-06,Y,machine_verse-06,machine,"Its measured pace, layered imagery, and haunting final transformation create a more resonant and cohesive poetic whole."
haiku-4.5,0017,verse:machine_verse,ba,verse-06,machine_verse-06,Y,machine_verse-06,machine,"The profound meditation on time and growth in the oak poem entirely outclasses the forced, archaic pastoral."
opus,0017,verse:machine_verse,ba,verse-06,machine_verse-06,X,verse-06,human,"X's plain, luminous cadence carries more weight than Y's polished closing epigram."
deepseek-v4-flash,0018,verse:machine_verse,ab,machine_verse-01,verse-03,X,machine_verse-01,machine,The lamb passage achieves a richer sensory experience and more precise emotional resonance.
gpt-5.6-luna,0018,verse:machine_verse,ab,machine_verse-01,verse-03,X,machine_verse-01,machine,"Its precise, tender imagery turns an ordinary scene into a quietly profound meditation on vulnerability and knowledge."
gpt-5.6-luna-pro,0018,verse:machine_verse,ab,machine_verse-01,verse-03,X,machine_verse-01,machine,"Its precise, restrained imagery turns the lamb’s tentative movement into a resonant reflection on knowledge and vulnerability."
haiku-4.5,0018,verse:machine_verse,ab,machine_verse-01,verse-03,X,machine_verse-01,machine,"Its spare, contemporary observation of animal consciousness is superior to Victorian sentimentality."
opus,0018,verse:machine_verse,ab,machine_verse-01,verse-03,X,machine_verse-01,machine,The lamb poem is sensuously particular and lands a real turn in 'Nothing is enormous'; the sonnet is abstract self-reproach.
deepseek-v4-flash,0018,verse:machine_verse,ba,verse-03,machine_verse-01,Y,machine_verse-01,machine,"Y uses vivid imagery and a concrete scene to explore themes of innocence and learning, making it more emotionally resonant and accessible."
gpt-5.6-luna,0018,verse:machine_verse,ba,verse-03,machine_verse-01,Y,machine_verse-01,machine,"Its precise, tactile imagery and quiet emotional tension make the lamb’s vulnerability vividly human."
gpt-5.6-luna-pro,0018,verse:machine_verse,ba,verse-03,machine_verse-01,Y,machine_verse-01,machine,"Its precise, quietly metaphorical observation gives the scene emotional depth without overstating it."
haiku-4.5,0018,verse:machine_verse,ba,verse-03,machine_verse-01,Y,machine_verse-01,machine,Sensory precision and contemporary language in the lamb poem surpass abstract theological expression.
opus,0018,verse:machine_verse,ba,verse-03,machine_verse-01,Y,machine_verse-01,machine,Y earns its feeling through observation; X is tangled abstraction with strained syntax and no image that lands.
deepseek-v4-flash,0019,verse:machine_verse,ab,machine_verse-04,verse-04,Y,verse-04,human,"The second passage uses more concrete, original imagery and rhythmic control to achieve a more distinct and memorable effect."
gpt-5.6-luna,0019,verse:machine_verse,ab,machine_verse-04,verse-04,X,machine_verse-04,machine,"Its precise, haunting images render loss and memory with greater emotional clarity and economy."
gpt-5.6-luna-pro,0019,verse:machine_verse,ab,machine_verse-04,verse-04,X,machine_verse-04,machine,"Its precise, quietly devastating imagery conveys loss with greater emotional economy and coherence."
haiku-4.5,0019,verse:machine_verse,ab,machine_verse-04,verse-04,X,machine_verse-04,machine,The precise exploration of how memory erodes through concrete detail is more powerful than Wordsworth's ornate description of natural forms.
opus,0019,verse:machine_verse,ab,machine_verse-04,verse-04,Y,verse-04,human,Wordsworth's blank verse on the Borrowdale yews has weight and strangeness of diction that outdo X's neat conceit.
deepseek-v4-flash,0019,verse:machine_verse,ba,verse-04,machine_verse-04,X,verse-04,human,"The passage from Wordsworth demonstrates a more intricate and sustained use of poetic imagery, rhythm, and figurative language."
gpt-5.6-luna,0019,verse:machine_verse,ba,verse-04,machine_verse-04,Y,machine_verse-04,machine,"Its precise, accumulating images render loss as an intimate, quietly devastating force."
gpt-5.6-luna-pro,0019,verse:machine_verse,ba,verse-04,machine_verse-04,Y,machine_verse-04,machine,"Its precise, accumulating details render loss with greater emotional subtlety and resonance."
haiku-4.5,0019,verse:machine_verse,ba,verse-04,machine_verse-04,Y,machine_verse-04,machine,modern memory poem's emotional resonance outweighs Wordsworth's elaborate descriptive verse.
opus,0019,verse:machine_verse,ba,verse-04,machine_verse-04,X,verse-04,human,"Wordsworth's yews have real sonic density and strangeness in the language, beyond Y's quieter competence."
deepseek-v4-flash,0020,verse:machine_verse,ab,machine_verse-02,verse-03,X,machine_verse-02,machine,"It uses more precise, original imagery and rhythm to evoke a destabilized, meditative experience of the sea."
gpt-5.6-luna,0020,verse:machine_verse,ab,machine_verse-02,verse-03,X,machine_verse-02,machine,"Its vivid, controlled imagery turns a familiar seascape into something hauntingly uncertain."
gpt-5.6-luna-pro,0020,verse:machine_verse,ab,machine_verse-02,verse-03,X,machine_verse-02,machine,"Its precise, unsettling imagery and controlled cadence create a vivid, resonant atmosphere with greater immediacy."
haiku-4.5,0020,verse:machine_verse,ab,machine_verse-02,verse-03,X,machine_verse-02,machine,It conveys darkness and uncertainty through unexpected images and phrasing.
opus,0020,verse:machine_verse,ab,machine_verse-02,verse-03,X,machine_verse-02,machine,"X hears the sea instead of describing it and closes with a genuinely startling line; Y is a fragmentary, generalized plea."
deepseek-v4-flash,0020,verse:machine_verse,ba,verse-03,machine_verse-02,Y,machine_verse-02,machine,"Y's imagery is more original and evocative, creating a vivid, thought-provoking seascape."
gpt-5.6-luna,0020,verse:machine_verse,ba,verse-03,machine_verse-02,Y,machine_verse-02,machine,"Its precise, unsettling imagery transforms a familiar seascape into a meditation on perception and uncertainty."
gpt-5.6-luna-pro,0020,verse:machine_verse,ba,verse-03,machine_verse-02,Y,machine_verse-02,machine,"Its precise, unsettling imagery turns the sea into a vivid meditation on uncertainty and human perception."
haiku-4.5,0020,verse:machine_verse,ba,verse-03,machine_verse-02,Y,machine_verse-02,machine,"The contemporary poem's precise, original imagery surpasses the formally competent but conventional Romantic sonnet."
opus,0020,verse:machine_verse,ba,verse-03,machine_verse-02,Y,machine_verse-02,machine,Y is clear and inventive where X's syntax knots itself around an abstract apology.
deepseek-v4-flash,0021,verse:machine_verse,ab,machine_verse-05,verse-01,X,machine_verse-05,machine,"X is more emotionally resonant and tightly crafted, using concrete domestic details to evoke absence and love."
gpt-5.6-luna,0021,verse:machine_verse,ab,machine_verse-05,verse-01,X,machine_verse-05,machine,"Its precise domestic imagery and restrained emotion create a vivid, resonant portrait of absence."
gpt-5.6-luna-pro,0021,verse:machine_verse,ab,machine_verse-05,verse-01,X,machine_verse-05,machine,Its restrained imagery and emotional precision make absence feel vividly present.
haiku-4.5,0021,verse:machine_verse,ab,machine_verse-05,verse-01,X,machine_verse-05,machine,"The domestic poem's emotional immediacy and concrete detail vastly surpass the incomplete, dated Victorian fragment."
opus,0021,verse:machine_verse,ab,machine_verse-05,verse-01,X,machine_verse-05,machine,X's plain domestic images cut deeper than Y's decorative ballad patter.
deepseek-v4-flash,0021,verse:machine_verse,ba,verse-01,machine_verse-05,X,verse-01,human,The passage's rhythmic patterning and mythic framing create a more distinctive and evocative literary texture.
gpt-5.6-luna,0021,verse:machine_verse,ba,verse-01,machine_verse-05,Y,machine_verse-05,machine,"Its precise domestic details and restrained emotional arc create a more affecting, cohesive poem."
gpt-5.6-luna-pro,0021,verse:machine_verse,ba,verse-01,machine_verse-05,Y,machine_verse-05,machine,"Its precise domestic details and restrained emotional turn create a vivid, quietly resonant portrait of absence."
haiku-4.5,0021,verse:machine_verse,ba,verse-01,machine_verse-05,Y,machine_verse-05,machine,the same contemporary poem about domestic love beats an archaic goblin fragment.
opus,0021,verse:machine_verse,ba,verse-01,machine_verse-05,Y,machine_verse-05,machine,Y's domestic detail creates felt longing where X is a decorative ballad pastiche.
deepseek-v4-flash,0022,verse:machine_verse,ab,machine_verse-03,verse-01,X,machine_verse-03,machine,"This passage uses tighter, more concrete imagery and a consistent tone to evoke the absurdity and quiet aftermath of war."
gpt-5.6-luna,0022,verse:machine_verse,ab,machine_verse-03,verse-01,X,machine_verse-03,machine,"Its controlled imagery and quiet irony create a more cohesive, resonant meditation on war than Y’s more ornamental, singsong verse."
gpt-5.6-luna-pro,0022,verse:machine_verse,ab,machine_verse-03,verse-01,X,machine_verse-03,machine,"Its taut, controlled imagery and mounting irony create a more coherent and resonant whole."
haiku-4.5,0022,verse:machine_verse,ab,machine_verse-03,verse-01,X,machine_verse-03,machine,The war poem's ironic precision and cutting insight into conflict's hollowness outweigh the archaic incompleteness of the Gothic verse.
opus,0022,verse:machine_verse,ab,machine_verse-03,verse-01,X,machine_verse-03,machine,X's irony about counted dead and the indifferent field is sharper than Y's atmospheric noise.
deepseek-v4-flash,0022,verse:machine_verse,ba,verse-01,machine_verse-03,Y,machine_verse-03,machine,The war passage is more evocative and thematically resonant.
gpt-5.6-luna,0022,verse:machine_verse,ba,verse-01,machine_verse-03,Y,machine_verse-03,machine,"Its stark, compressed imagery and ironic treatment of victory create a more resonant and cohesive effect."
gpt-5.6-luna-pro,0022,verse:machine_verse,ba,verse-01,machine_verse-03,Y,machine_verse-03,machine,"Its stark, rhythmic imagery captures the absurdity and emotional aftermath of war with greater coherence and force."
haiku-4.5,0022,verse:machine_verse,ba,verse-01,machine_verse-03,Y,machine_verse-03,machine,brutal modern directness surpasses overwrought Gothic archness.
opus,0022,verse:machine_verse,ba,verse-01,machine_verse-03,Y,machine_verse-03,machine,Y's flat irony about victory lands hard; X is pretty archaic ballad furniture.
deepseek-v4-flash,0023,verse:machine_verse,ab,machine_verse-00,verse-01,X,machine_verse-00,machine,"The first passage is more powerful because it uses precise, intimate details to convey a universal experience of grief and the quiet persistence of memory."
gpt-5.6-luna,0023,verse:machine_verse,ab,machine_verse-00,verse-01,X,machine_verse-00,machine,"Its intimate grief, vivid domestic details, and hauntingly compressed imagery give it greater emotional and artistic force."
gpt-5.6-luna-pro,0023,verse:machine_verse,ab,machine_verse-00,verse-01,X,machine_verse-00,machine,Its restrained domestic details and compressed grief create a more original and emotionally resonant poem.
haiku-4.5,0023,verse:machine_verse,ab,machine_verse-00,verse-01,X,machine_verse-00,machine,"the finely crafted meditation on grief and memory surpasses the incomplete, underdeveloped poem."
opus,0023,verse:machine_verse,ab,machine_verse-00,verse-01,X,machine_verse-00,machine,The widow poem's turn from grief to residue is sharp and particular; the goblin ballad is generic.
deepseek-v4-flash,0023,verse:machine_verse,ba,verse-01,machine_verse-00,Y,machine_verse-00,machine,"Y's poignant, personal reflection on grief and memory is more emotionally resonant and crafted."
gpt-5.6-luna,0023,verse:machine_verse,ba,verse-01,machine_verse-00,Y,machine_verse-00,machine,Its precise domestic details and restrained grief create a more original and emotionally resonant portrait of loss.
gpt-5.6-luna-pro,0023,verse:machine_verse,ba,verse-01,machine_verse-00,Y,machine_verse-00,machine,"Its precise domestic details and restrained rhythm make grief feel intimate, enduring, and genuinely earned."
haiku-4.5,0023,verse:machine_verse,ba,verse-01,machine_verse-00,Y,machine_verse-00,machine,concrete emotional truth defeats archaic sentimental verse.
opus,0023,verse:machine_verse,ba,verse-01,machine_verse-00,Y,machine_verse-00,machine,Y's grief is specific and surprising; X is decorative question-and-answer with little at stake.
deepseek-v4-flash,0024,verse:machine_verse,ab,machine_verse-06,verse-03,X,machine_verse-06,machine,"X uses fresh, sensory imagery and a quiet, immersive rhythm that"
gpt-5.6-luna,0024,verse:machine_verse,ab,machine_verse-06,verse-03,X,machine_verse-06,machine,"Its precise, patient imagery creates a vivid meditation on time, nature, and human smallness."
gpt-5.6-luna-pro,0024,verse:machine_verse,ab,machine_verse-06,verse-03,X,machine_verse-06,machine,"Its patient, precise imagery and quiet meditation achieve greater coherence and emotional resonance."
haiku-4.5,0024,verse:machine_verse,ab,machine_verse-06,verse-03,X,machine_verse-06,machine,The modern poem's philosophical compression and striking final line surpass the elaborate but sentimental Romantic metaphor.
opus,0024,verse:machine_verse,ab,machine_verse-06,verse-03,X,machine_verse-06,machine,"X is clear and startling ('you become weather'), where Y is inverted, abstract, and cut off mid-thought."
deepseek-v4-flash,0024,verse:machine_verse,ba,verse-03,machine_verse-06,Y,machine_verse-06,machine,"The second passage creates a more vivid, sensory, and immersive experience through concrete imagery and natural rhythm."
gpt-5.6-luna,0024,verse:machine_verse,ba,verse-03,machine_verse-06,Y,machine_verse-06,machine,"Its precise imagery and quietly accumulating meditation create a more vivid, cohesive, and resonant piece."
gpt-5.6-luna-pro,0024,verse:machine_verse,ba,verse-03,machine_verse-06,Y,machine_verse-06,machine,"Its patient imagery and startling final transformation create a vivid, cohesive meditation on time and mortality."
haiku-4.5,0024,verse:machine_verse,ba,verse-03,machine_verse-06,Y,machine_verse-06,machine,meditative contemporary poem about time's indifference has more literary power than archaic sonnet.
opus,0024,verse:machine_verse,ba,verse-03,machine_verse-06,Y,machine_verse-06,machine,Y earns its scale through concrete observation; X is generalized abstraction and archaic elevation.
deepseek-v4-flash,0025,verse:machine_verse,ab,machine_verse-01,verse-02,X,machine_verse-01,machine,"Passages: X is ""The lamb is two days into being here. / It tries the field the way you try cold water: / one leg, then all of it, then back again / to the flank that smells of having been its mother. / I watch from the gate and want to teach it something, / though"
gpt-5.6-luna,0025,verse:machine_verse,ab,machine_verse-01,verse-02,X,machine_verse-01,machine,"It is a complete, vivid meditation whose precise imagery and emotional restraint create a more unified and resonant poem."
gpt-5.6-luna-pro,0025,verse:machine_verse,ab,machine_verse-01,verse-02,X,machine_verse-01,machine,"Its precise imagery and restrained emotional movement create a complete, resonant meditation."
haiku-4.5,0025,verse:machine_verse,ab,machine_verse-01,verse-02,X,machine_verse-01,machine,It observes with precise clarity and emotional depth without pretension.
opus,0025,verse:machine_verse,ab,machine_verse-01,verse-02,Y,verse-02,human,The verse paragraph earns its grandeur through tight chiastic repetition and syntactic control the lamb poem never attempts.
deepseek-v4-flash,0025,verse:machine_verse,ba,verse-02,machine_verse-01,X,verse-02,human,The passage lacks the vivid sensory imagery and concrete emotional grounding that makes Y's exploration of new life and learning compelling.
gpt-5.6-luna,0025,verse:machine_verse,ba,verse-02,machine_verse-01,Y,machine_verse-01,machine,"Its precise, understated imagery and emotional restraint create a vivid, resonant scene."
gpt-5.6-luna-pro,0025,verse:machine_verse,ba,verse-02,machine_verse-01,Y,machine_verse-01,machine,"Its precise imagery and restrained emotional tension create a vivid, coherent meditation on innocence and knowledge."
haiku-4.5,0025,verse:machine_verse,ba,verse-02,machine_verse-01,Y,machine_verse-01,machine,The poem's precise observation and striking metaphor conveys wisdom more vividly than incomplete theological rhetoric.
opus,0025,verse:machine_verse,ba,verse-02,machine_verse-01,Y,machine_verse-01,machine,"The lamb's tentative testing of the field and the turn on 'Nothing is enormous' are freshly observed, while X is an abstract fragment cut mid-argument."
deepseek-v4-flash,0026,verse:machine_verse,ab,machine_verse-04,verse-00,X,machine_verse-04,machine,X's imagery and emotional subtlety create a more nuanced and evocative literary experience.
gpt-5.6-luna,0026,verse:machine_verse,ab,machine_verse-04,verse-00,X,machine_verse-04,machine,"Its precise, haunting imagery and restrained meditation on memory create greater emotional and thematic depth."
gpt-5.6-luna-pro,0026,verse:machine_verse,ab,machine_verse-04,verse-00,X,machine_verse-04,machine,"Its precise, haunting imagery and gradual emotional erosion create a more resonant and cohesive poem."
haiku-4.5,0026,verse:machine_verse,ab,machine_verse-04,verse-00,X,machine_verse-04,machine,"subtle meditation on forgetting surpasses the repetitive, conventional celebration of warfare."
opus,0026,verse:machine_verse,ab,machine_verse-04,verse-00,X,machine_verse-04,machine,"A controlled, quietly devastating figure for memory loss versus mere repetitive doggerel."
deepseek-v4-flash,0026,verse:machine_verse,ba,verse-00,machine_verse-04,X,verse-00,human,"Y uses subtle, evocative imagery to explore loss and memory, while X is a repetitive, simplistic chant."
gpt-5.6-luna,0026,verse:machine_verse,ba,verse-00,machine_verse-04,Y,machine_verse-04,machine,Its precise imagery and quietly devastating progression create a more layered and emotionally resonant piece.
gpt-5.6-luna-pro,0026,verse:machine_verse,ba,verse-00,machine_verse-04,Y,machine_verse-04,machine,Its precise imagery and gradual emotional revelation create a more nuanced and resonant meditation on loss.
haiku-4.5,0026,verse:machine_verse,ba,verse-00,machine_verse-04,Y,machine_verse-04,machine,philosophical elegance and compression defeat crude repetitive verse.
opus,0026,verse:machine_verse,ba,verse-00,machine_verse-04,Y,machine_verse-04,machine,Y makes forgetting tactile and quietly devastating; X is repetitive doggerel.
deepseek-v4-flash,0027,verse:machine_verse,ab,machine_verse-02,verse-02,X,machine_verse-02,machine,"The passage achieves a more immediate and resonant sensory experience through precise, original imagery and rhythm, without relying on abstract theological argument."
gpt-5.6-luna,0027,verse:machine_verse,ab,machine_verse-02,verse-02,X,machine_verse-02,machine,Its precise sensory imagery and unsettling ambiguity create a more cohesive and resonant whole.
gpt-5.6-luna-pro,0027,verse:machine_verse,ab,machine_verse-02,verse-02,X,machine_verse-02,machine,"Its precise, unsettling imagery and rhythmic compression create a vivid atmosphere with greater immediacy and coherence."
haiku-4.5,0027,verse:machine_verse,ab,machine_verse-02,verse-02,X,machine_verse-02,machine,"Its visceral, accessible imagery and complete philosophical argument outweigh the archaic fragment."
opus,0027,verse:machine_verse,ab,machine_verse-02,verse-02,X,machine_verse-02,machine,"X's images are fresh and physically exact, while Y's chiasmic abstractions turn on doctrine rather than perception."
deepseek-v4-flash,0027,verse:machine_verse,ba,verse-02,machine_verse-02,X,verse-02,human,Heavenly love outweighs hellish hate through more precise theological paradox and compression.
gpt-5.6-luna,0027,verse:machine_verse,ba,verse-02,machine_verse-02,Y,machine_verse-02,machine,"Its precise, unsettling imagery and rhythm build toward a memorable final transformation of the beach into human vulnerability."
gpt-5.6-luna-pro,0027,verse:machine_verse,ba,verse-02,machine_verse-02,Y,machine_verse-02,machine,"Its vivid, cohesive imagery turns the sea into an unsettling meditation on perception, impermanence, and human arrangement."
haiku-4.5,0027,verse:machine_verse,ba,verse-02,machine_verse-02,Y,machine_verse-02,machine,It achieves vivid specificity and philosophical depth where the older passage relies on baroque formality.
opus,0027,verse:machine_verse,ba,verse-02,machine_verse-02,Y,machine_verse-02,machine,Y is concrete and surprising; X is abstract doctrinal argument that repeats itself without imagery.
deepseek-v4-flash,0165,lit:machine_lit,ab,lit-19,machine_lit-04,Y,machine_lit-04,machine,"The second passage uses more precise, evocative sensory details and emotional weight to create a vivid and resonant scene."
gpt-5.6-luna,0165,lit:machine_lit,ab,lit-19,machine_lit-04,Y,machine_lit-04,machine,"Its precise sensory details and restrained psychological insight create a more vivid, emotionally complex scene."
gpt-5.6-luna-pro,0165,lit:machine_lit,ab,lit-19,machine_lit-04,Y,machine_lit-04,machine,Its vivid sensory detail and restrained subtext convey the child’s emotional predicament with greater depth and precision.
haiku-4.5,0165,lit:machine_lit,ab,lit-19,machine_lit-04,Y,machine_lit-04,machine,the precisely observed economic meditation achieves greater literary sophistication than the conventional romantic narrative.
opus,0165,lit:machine_lit,ab,lit-19,machine_lit-04,Y,machine_lit-04,machine,X is light comic filler; Y is carefully observed and structurally complete.
deepseek-v4-flash,0165,lit:machine_lit,ba,machine_lit-04,lit-19,X,machine_lit-04,machine,The first passage uses sensory details and restrained tension to create a more layered and evocative emotional atmosphere.
gpt-5.6-luna,0165,lit:machine_lit,ba,machine_lit-04,lit-19,X,machine_lit-04,machine,"X uses precise sensory detail and implied emotional stakes to create a more vivid, psychologically nuanced scene."
gpt-5.6-luna-pro,0165,lit:machine_lit,ba,machine_lit-04,lit-19,X,machine_lit-04,machine,Its precise sensory detail and restrained emotional tension reveal the child’s burden without stating it outright.
haiku-4.5,0165,lit:machine_lit,ba,machine_lit-04,lit-19,X,machine_lit-04,machine,"Its psychologically mature rendering of a child processing parental conflict exceeds the surface-level, sentimental observation of Y."
opus,0165,lit:machine_lit,ba,machine_lit-04,lit-19,X,machine_lit-04,machine,X turns overheard argument into a child's moral calculation; Y is flat comic filler.
deepseek-v4-flash,0166,lit:machine_lit,ab,lit-12,machine_lit-00,Y,machine_lit-00,machine,"The second passage uses vivid imagery and metaphor to create a poignant, resonant reflection on memory and change."
gpt-5.6-luna,0166,lit:machine_lit,ab,lit-12,machine_lit-00,Y,machine_lit-00,machine,"Its vivid, sustained imagery transforms a familiar house into an elegant metaphor for memory and changed identity."
gpt-5.6-luna-pro,0166,lit:machine_lit,ab,lit-12,machine_lit-00,Y,machine_lit-00,machine,"Its vivid, controlled imagery turns a return home into a poignant meditation on memory, change, and outgrowing the past."
haiku-4.5,0166,lit:machine_lit,ab,lit-12,machine_lit-00,Y,machine_lit-00,machine,It transforms a common experience through surprising metaphors and sustained reflection.
opus,0166,lit:machine_lit,ab,lit-12,machine_lit-00,Y,machine_lit-00,machine,"The shrunken-house conceit is sustained and physically exact, while X is a slight comic transcription of overheard chatter."
deepseek-v4-flash,0166,lit:machine_lit,ba,machine_lit-00,lit-12,X,machine_lit-00,machine,X uses more evocative imagery and emotional depth to explore memory and change.
gpt-5.6-luna,0166,lit:machine_lit,ba,machine_lit-00,lit-12,X,machine_lit-00,machine,"It transforms the familiar house into a vivid, emotionally resonant metaphor for memory and estrangement."
gpt-5.6-luna-pro,0166,lit:machine_lit,ba,machine_lit-00,lit-12,X,machine_lit-00,machine,Its precise imagery and controlled metaphor turn a familiar return home into a poignant meditation on memory and change.
haiku-4.5,0166,lit:machine_lit,ba,machine_lit-00,lit-12,X,machine_lit-00,machine,the folded house metaphor and sensory precision beat gossipy period chitchat.
opus,0166,lit:machine_lit,ba,machine_lit-00,lit-12,X,machine_lit-00,machine,"Controlled, resonant conceit versus Y's transcribed child-chatter with little payoff."
deepseek-v4-flash,0167,lit:machine_lit,ab,lit-02,machine_lit-01,Y,machine_lit-01,machine,"The second passage creates a vivid, atmospheric sense of place and mood through precise imagery and restrained detail."
gpt-5.6-luna,0167,lit:machine_lit,ab,lit-02,machine_lit-01,Y,machine_lit-01,machine,"Its restrained detail, atmospheric imagery, and quiet tension create a more cohesive and evocative piece."
gpt-5.6-luna-pro,0167,lit:machine_lit,ab,lit-02,machine_lit-01,Y,machine_lit-01,machine,"Its restrained detail, atmosphere, and implied tension create a more cohesive and resonant scene."
haiku-4.5,0167,lit:machine_lit,ab,lit-02,machine_lit-01,Y,machine_lit-01,machine,"Its atmospheric, spare rendering of waiting and mood is far more sophisticated than broad comedy."
opus,0167,lit:machine_lit,ab,lit-02,machine_lit-01,Y,machine_lit-01,machine,"The waiting platform gets its meaning from weather, silence, and the bell that announces nothing; X is comic dialect business."
deepseek-v4-flash,0167,lit:machine_lit,ba,machine_lit-01,lit-02,X,machine_lit-01,machine,"The passage evokes a more vivid and atmospheric sense of place and emotion through precise, sensory language and understated tension."
gpt-5.6-luna,0167,lit:machine_lit,ba,machine_lit-01,lit-02,X,machine_lit-01,machine,"Its restrained imagery and mounting silence create a more resonant, unified atmosphere."
gpt-5.6-luna-pro,0167,lit:machine_lit,ba,machine_lit-01,lit-02,X,machine_lit-01,machine,"Its restrained prose, precise imagery, and quiet tension create a more resonant atmosphere."
haiku-4.5,0167,lit:machine_lit,ba,machine_lit-01,lit-02,X,machine_lit-01,machine,spare atmosphere and precise observation outweigh colloquial charm.
opus,0167,lit:machine_lit,ba,machine_lit-01,lit-02,X,machine_lit-01,machine,X builds real atmosphere and withheld feeling from a few objects; Y is animated dialogue that needs its novel around it.
deepseek-v4-flash,0168,lit:machine_lit,ab,lit-13,machine_lit-06,Y,machine_lit-06,machine,"The second passage uses concrete, sensory details and emotional nuance to create a resonant, character-driven moment, while the first is more expositional and plot-focused."
gpt-5.6-luna,0168,lit:machine_lit,ab,lit-13,machine_lit-06,Y,machine_lit-06,machine,"Its precise, emotionally layered details turn an ordinary act of sorting possessions into a quietly devastating portrait of loss."
gpt-5.6-luna-pro,0168,lit:machine_lit,ab,lit-13,machine_lit-06,Y,machine_lit-06,machine,"Its precise physical details and understated emotional conflict create a poignant, layered portrait of loss."
haiku-4.5,0168,lit:machine_lit,ab,lit-13,machine_lit-06,Y,machine_lit-06,machine,Its psychological observation of social dynamics far exceeds the generic detective dialogue.
opus,0168,lit:machine_lit,ab,lit-13,machine_lit-06,Y,machine_lit-06,machine,Y builds a whole grief through objects; X is serviceable plot dialogue.
deepseek-v4-flash,0168,lit:machine_lit,ba,machine_lit-06,lit-13,X,machine_lit-06,machine,"The passage achieves a quiet, resonant emotional depth through precise, understated detail and rhythm."
gpt-5.6-luna,0168,lit:machine_lit,ba,machine_lit-06,lit-13,X,machine_lit-06,machine,Its restrained imagery and emotional precision make the quiet act of sorting possessions deeply affecting.
gpt-5.6-luna-pro,0168,lit:machine_lit,ba,machine_lit-06,lit-13,X,machine_lit-06,machine,"Its precise, emotionally resonant details transform ordinary sorting into a subtle portrait of grief and self-erasure."
haiku-4.5,0168,lit:machine_lit,ba,machine_lit-06,lit-13,X,machine_lit-06,machine,The emotional subtlety and heartbreaking specificity of grieving transcends functional detective dialogue.
opus,0168,lit:machine_lit,ba,machine_lit-06,lit-13,X,machine_lit-06,machine,"The three piles and the final saucer with no cup make grief concrete, whereas Y is workmanlike plot dialogue."
deepseek-v4-flash,0169,lit:machine_lit,ab,lit-14,machine_lit-02,Y,machine_lit-02,machine,"The second passage uses precise, restrained detail to convey emotional tension and psychological complexity, making it the more accomplished piece of literary writing."
